Header|Theme|Variables
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|Finunt - Financing of the internal F & AMP;
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|Finsunstverb - Financing of the internal F & AMP;
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|Finsunstand - Financing of the internal F & AMP; e -editions through: funds from other domestic companies, in 1,000 euros
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|FINB - Financing of the internal F & amp; e -editions through: funds from the federal government, in 1,000 euros
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|Finforprae - Financing of the internal F & AMP;
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|FinL - Financing of the internal F & AMP; e -editions through: funds from federal states, in 1,000 euros
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|Cast - financing of internal F & amp; e -editions through: funds of municipalities, in 1,000 euros
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|FinFFG - Financing of the internal F & AMP;
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|FinStonsonst - Financing of the internal F & AMP;
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|Finhs - Financing of the internal F & AMP; e -editions through: funds from the university sector, in 1,000 euros
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|FINPI - Financing of the internal F & AMP;
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|Findeu - Financing of the internal F & AMP;
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|Finio - Financing of the internal F & AMP; e -editions through: funds of international organizations, in 1,000 euros
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|Finsonstaverb - Financing of the internal F & AMP;
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|Finsonstaand - Financing of the internal F & AMP; e -editions through: funds from other foreign companies, in 1,000 euros
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|FinsonStale - Financing of the internal F & AMP; e -editions through: Other financing from abroad, in 1,000 euros
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|Ext - implementation of external F & amp; e
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|External - entire external F & amp; e -editions, in 1,000 euros
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|Extiunstverb - external F & amp; e -expenses to domestic companies, in € 1,000
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|Extiunstand - external F & amp; e -editions to other domestic companies, in € 1,000
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|Extihs - external F & amp; e -editions at domestic universities and universities of applied sciences
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|Extent - external F & amp; e -expenses to domestic state institutions, in € 1,000
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|Extipi - External F & Amp;
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|External F & Amp;
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|Extato - external F & amp; e -editions to foreign subsidiaries, in € 1,000
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|Exta -verb - external F & amp; e -expenses to other foreign companies, in € 1,000
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|Extasunt - external F & AMP; e -expenses to other foreign companies, in € 1,000
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|ExtaSt - external F & Amp;
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|Extaio - external F & amp; e -editions to internal organizations, in € 1,000
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|ExtaSonst - External F & Amp;
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|Exti - entire external F & amp; e -editions to the domestic, in 1,000 euros
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|Exta - entire external F & amp; e -editions to abroad, in 1,000 euros
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|Pkwimudr - head number male scientists with a doctorate
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|PKWIWUDR - head number scientists (female) with doctorate
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|PVWimudr - full -time equivalent (VZÄ) of the male scientists with a doctorate
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|PVWiWudr - full -time equivalent (VZÄ) of the scientists with a doctorate
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|Car - Head number Male scientists with diploma, master's degree
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|Pkwiwud - head number scientists with a graduate, master's degree
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|PVWimud - full -time equivalent (VZÄ) of the male scientist with diploma, master's degree
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|PVWIWUD - full -time equivalent (VZÄ) of the scientists with diploma, master's degree
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|PKWIMUB - head number male scientists with bakkaleureate, bachelor's degree
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|Pkwiwub - head number scientists with bakkaleureate, bachelor's degree
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|PVWimub - full -time equivalent (VZÄ) The male scientist with bakkaleureate, bachelor's degree
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|PVWiWub - full -time equivalent (VZÄ) of the scientists with bakkaleureate, bachelor's degree
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|Car - Head number Male scientists with non -university postse customer training
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|PKWIWP - head number of scientists with non -university postse customer training
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|PVWIMP - full -time equivalent (VZÄ) of the male scientists with non -university postse customer training
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|PVWIWP - full -time equivalent (VZÄ) of the scientists with non -uniform post -conference training
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|Car - Head number Male Scientists with a master examination/champion
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|PKWIWM - head number scientists with a master examination/champion
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|Pvwimm - full -time equivalent (VZÄ) of the male scientists with a master's examination/caretaker
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|PVWIWM - full -time equivalent (VZÄ) of the scientists with a master's examination/caretaker
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|Pkwimbs - head number male scientists with BHS
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|PKWIWBS - head number scientists with BHS
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|PVWimbs - full -time equivalent (VZÄ) of the male scientists with BHS
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|PVWIWBS - full -time equivalent (VZÄ) of the scientists with BHS
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|Car - head number male scientists with AHS, middle school, apprenticeship
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|Carwiwas - head number scientists with AHS, middle school, apprenticeship
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|PVWimas - full -time equivalent (VZÄ) The male scientist with AHS, middle school, apprenticeship
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|PVWiWas - full -time equivalent (VZÄ) of the scientists with AHS, middle school, apprenticeship
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|Car - head number male scientists with other training
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|PKWIWN - head number scientists with other training
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|PVWimn - full -time equivalent (VZÄ) of the male scientists with other training
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|PVWIWN - full -time equivalents (VZÄ) of the scientists with other training
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|Car - head number of male scientists together
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|Car - head number of scientists together
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|PVWim - full -time equivalent (VZÄ) of the male scientists together
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|PVWIW - full -time equivalent (VZÄ) of the scientists together
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|PKHQMUDR - head number male technician with doctorate
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|PKHQWUDR - head number technicians with a doctorate
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|PVHQMUDR - full -time equivalent (VZÄ) of the male technician with a doctorate
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|PVHQWUDR - full -time equivalent (VZÄ) of the technicians with a doctorate
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|PKHQMUD - Head number Male technician with diploma, master's degree
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|PKHQWUD - head number technicians with diploma, master's degree
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|PVHQMUD - full -time equivalent (VZÄ) The male technician with diploma, master's degree
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|PVHQWUD - full -time equivalent (VZÄ) of the technicians with diploma, master's degree
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|PKHQMUB - Head number of technicians with bakkaleureate, bachelor's degree
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|PKHQWUB - head number technicians with bakkaleureate, bachelor's degree
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|PVHQMUB - full -time equivalent (VZÄ) The male technician with bakkaleureate, bachelor's degree
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|PVHQWUB - full -time equivalent (VZÄ) of the technicians with bakkaleureate, bachelor's degree
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|PKHQMP - Head number Male technicians with non -university postse customer training
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|PKHQWP - head number technicians with non -university postse customer training
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|PVHQMP - full -time equivalent (VZÄ) of the male technician with non -university postse customer training
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|PVHQWP - full -time equivalent (VZÄ) of the technicians with non -university postse customer training
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|PKHQMM - head number male technician with master examination/caretaker
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|PKHQWM - head number technicians with a master's examination/caretaker
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|PVHQMM - full -time equivalent (VZÄ) of the male technician with a master's examination/caretaker
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|PVHQWM - full -time equivalent (VZÄ) of the technicians with a master's examination/caretaker
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|PKHQMBS - head number male technician with bras
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|PKHQWBS - head number technicians with BHS
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|PVHQMBS - full -time equivalent (VZÄ) of the male technician with bras
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|PVHQWBS - full -time equivalent (VZÄ) of the technicians with BHS
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|PKHQMAS - head number male technician with AHS, middle school, apprenticeship
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|PKHQWAS - head number technicians with AHS, middle school, apprenticeship
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|PVHQMAS - full -time equivalent (VZÄ) The male technician with AHS, middle school, apprenticeship
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|PVHQWAS - full -time equivalent (VZÄ) of the technicians with AHS, middle school, apprenticeship
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|PKHQMN - head numbers.Technician with other training
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|PKHQWN - head number technicians with other training
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|PVHQMN - full -time equivalent (VZÄ) of the male technician with other training
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|PVHQWN - full -time equivalent (VZÄ) of the technicians with other training
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|PKHQM - head number of male technicians together
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|PKHQW - head number of technicians together
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|PVHQM - full -time equivalent (VZÄ) that of the male technicians together
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|PVHQW - full -time equivalent (VZÄ) of the technicians together
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|PKSom - head number of male other employees
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|PKSow - head of the female.Other employees
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|PVSOM - full -time equivalent (VZÄ) of the male other employees
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|PVSOW - full -time equivalent (VZÄ) of the female.Other employees
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|Pkopfm - sum of the male employees (head number)
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|Pkopfw - sum of the female employees (head number)
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|PVZAEM - sum of the full -time equivalents of the male employees
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|PVZAEW - sum of the full -time equivalents of the female employees
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|Pkopf - sum of the employees, total (head number)
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|PVZAE - sum of the full -time equivalent, total
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|FS_Janein - Research site exclusively in the state of the main location
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|FS_STMK_AUS_N - F & AMP; e -editions at the research site of Styria, in 1,000 euros
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|FS_OOE_AUS_N - F & AMP; e -editions at the research site in Upper Austria, in 1,000 euros
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|FS_SZB_AUS_N - F & AMP; e -editions at the Salzburg research location, in 1,000 euros
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|FS_VBG_AUS_N - F & AMP; e -editions at the Vorarlberg research location, in 1,000 euros
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|FS_TIR_AUS_N - F & AMP; e -editions at the Tirol research location, in 1,000 euros
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|FS_BGDL_AUS_N - F & AMP; e -editions at the Burgenland research location, in 1,000 euros
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|FS_KTN_AUS_N - F & AMP; e -editions at the Carinthian research site, in 1,000 euros
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|FS_NOE_AUS_N - F & AMP; e -editions at the research location in Lower Austria, in 1,000 euros
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|Fs_wien_aus_n - F & amp; e -editions at the Vienna research location, in 1,000 euros
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|FS_STMK_K_N - F & Amp;
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|FS_OOE_K_N - F & AMP;
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|FS_SZB_K_N - F & Amp;
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|FS_VBG_K_N - F & AMP;
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|FS_TIR_K_N - F & AMP;
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|FS_BGDL_K_N - F & Amp;
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|FS_KTN_K_N - F & Amp;
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|Fs_noe_k_n - f & amp;
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|Fs_wien_k_n - F & amp;
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|Fs_stmk_v_n - F & amp; e -employed (VZÄ) at the research location Styria
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|Fs_ooe_v_n - F & amp;
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|FS_SZB_V_N - F & Amp;
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|FS_VBG_V_N - F & AMP;
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|Fs_tir_v_n - F & amp;
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|Fs_bgdl_v_n - F & amp; e -employed (VZÄ) at the research location Burgenland
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|Fs_ktn_v_n - F & amp;
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|Fs_noe_v_n - f & amp;
F & amp; e 2019 in the company sector - survey on research and experimental development (F & Amp; e) in the company sector|F & amp; e, research, research and development|Fs_wien_v_n - f & amp;
GES -freight statistics|Energy deployment, property use, production process, producing area|Year - survey year
GES -freight statistics|Energy deployment, property use, production process, producing area|NACH - activity (ÖNACE2008)
GES -freight statistics|Energy deployment, property use, production process, producing area|Gmdenr - location
GES -freight statistics|Energy deployment, property use, production process, producing area|Wijaa - beginning of the financial year
GES -freight statistics|Energy deployment, property use, production process, producing area|Wijae - end of the financial year
GES -freight statistics|Energy deployment, property use, production process, producing area|Code-code of the energy source or code of operating, raw, land and auxiliary materials as well as semi-finished products and for installation intended finished products according to GV-GES
GES -freight statistics|Energy deployment, property use, production process, producing area|EG - energy or goods code
GES -freight statistics|Energy deployment, property use, production process, producing area|Eh -
GES -freight statistics|Energy deployment, property use, production process, producing area|Me - quantity according to the unit of quantity
GES -freight statistics|Energy deployment, property use, production process, producing area|WE - Wert in 1.000 EUR
GWR - AMDC: Building and housing register|Construction measures, construction projects, buildings, usage units, apartments|Gemnr - municipal index
GWR - AMDC: Building and housing register|Construction measures, construction projects, buildings, usage units, apartments|Gemnam38 - Community name
GWR - AMDC: Building and housing register|Construction measures, construction projects, buildings, usage units, apartments|OKZ - local dating
GWR - AMDC: Building and housing register|Construction measures, construction projects, buildings, usage units, apartments|Ortnam - local name
GWR - AMDC: Building and housing register|Construction measures, construction projects, buildings, usage units, apartments|Zip code - postcode
GWR - AMDC: Building and housing register|Construction measures, construction projects, buildings, usage units, apartments|ZSP - counters
GWR - AMDC: Building and housing register|Construction measures, construction projects, buildings, usage units, apartments|KG No.
GWR - AMDC: Building and housing register|Construction measures, construction projects, buildings, usage units, apartments|Katnam - Katastralgemedename
GWR - AMDC: Building and housing register|Construction measures, construction projects, buildings, usage units, apartments|Prescho - Number of bullets above ground
GWR - AMDC: Building and housing register|Construction measures, construction projects, buildings, usage units, apartments|List - Number of bullets underground
GWR - AMDC: Building and housing register|Construction measures, construction projects, buildings, usage units, apartments|Gebhohe - building height
GWR - AMDC: Building and housing register|Construction measures, construction projects, buildings, usage units, apartments|Flbretto - gross area
GWR - AMDC: Building and housing register|Construction measures, construction projects, buildings, usage units, apartments|Flbuero - office space
GWR - AMDC: Building and housing register|Construction measures, construction projects, buildings, usage units, apartments|FLDACH - attic area
GWR - AMDC: Building and housing register|Construction measures, construction projects, buildings, usage units, apartments|Flemeim - living space for communities
GWR - AMDC: Building and housing register|Construction measures, construction projects, buildings, usage units, apartments|FLA -HABE - area for large and retail areas
GWR - AMDC: Building and housing register|Construction measures, construction projects, buildings, usage units, apartments|Flhotel - area for hotel and other units for short -term accommodation
GWR - AMDC: Building and housing register|Construction measures, construction projects, buildings, usage units, apartments|Flustrie - area for industry and storage
GWR - AMDC: Building and housing register|Construction measures, construction projects, buildings, usage units, apartments|Flkeller - basement area
GWR - AMDC: Building and housing register|Construction measures, construction projects, buildings, usage units, apartments|Flkirche - area for church and other sacral buildings
GWR - AMDC: Building and housing register|Construction measures, construction projects, buildings, usage units, apartments|Flulktung - area for culture and leisure and educational and healthcare
GWR - AMDC: Building and housing register|Construction measures, construction projects, buildings, usage units, apartments|Flland - areas for agricultural use
GWR - AMDC: Building and housing register|Construction measures, construction projects, buildings, usage units, apartments|Flnetto - net area
GWR - AMDC: Building and housing register|Construction measures, construction projects, buildings, usage units, apartments|FLPRIVAGARAGE - area for private garage
GWR - AMDC: Building and housing register|Construction measures, construction projects, buildings, usage units, apartments|Flseudo - area for pseudoo
GWR - AMDC: Building and housing register|Construction measures, construction projects, buildings, usage units, apartments|Flsonstbw area for other buildings
GWR - AMDC: Building and housing register|Construction measures, construction projects, buildings, usage units, apartments|FL traffic - areas for traffic and news
GWR - AMDC: Building and housing register|Construction measures, construction projects, buildings, usage units, apartments|Flversorg - traffic and supply area
GWR - AMDC: Building and housing register|Construction measures, construction projects, buildings, usage units, apartments|Fl housing - area for residential purposes
GWR - AMDC: Building and housing register|Construction measures, construction projects, buildings, usage units, apartments|Owner - owner
GWR - AMDC: Building and housing register|Construction measures, construction projects, buildings, usage units, apartments|Energy - energy indicator
GWR - AMDC: Building and housing register|Construction measures, construction projects, buildings, usage units, apartments|Drinking water - drinking water supply
GWR - AMDC: Building and housing register|Construction measures, construction projects, buildings, usage units, apartments|Wastewater - waste water disposal
GWR - AMDC: Building and housing register|Construction measures, construction projects, buildings, usage units, apartments|Elekitataet - electricity supply
GWR - AMDC: Building and housing register|Construction measures, construction projects, buildings, usage units, apartments|Low water - rainwater
GWR - AMDC: Building and housing register|Construction measures, construction projects, buildings, usage units, apartments|Gas - gas supply
GWR - AMDC: Building and housing register|Construction measures, construction projects, buildings, usage units, apartments|Waste - waste disposal
GWR - AMDC: Building and housing register|Construction measures, construction projects, buildings, usage units, apartments|WaermeHeiz - heating heat supply
GWR - AMDC: Building and housing register|Construction measures, construction projects, buildings, usage units, apartments|Waermesystem - heating heating system system
GWR - AMDC: Building and housing register|Construction measures, construction projects, buildings, usage units, apartments|Operating - heating mode
GWR - AMDC: Building and housing register|Construction measures, construction projects, buildings, usage units, apartments|Brennart - Heating type of fuel
